#{"t_start": 1749386233.312694, "env_id": "CartPole-v1"}
r,l,t
28.0,28,17.578783
30.0,30,17.596552
9.0,9,17.602429
12.0,12,17.614185
11.0,11,17.614185
42.0,42,17.654226
21.0,21,17.667272
26.0,26,17.691189
30.0,30,17.708991
26.0,26,17.724836
11.0,11,17.742916
17.0,17,17.758679
14.0,14,17.76643
13.0,13,17.772437
9.0,9,17.782094
34.0,34,17.811058
11.0,11,17.811058
13.0,13,17.829436
16.0,16,17.845464
14.0,14,17.858566
21.0,21,17.872069
28.0,28,17.894462
10.0,10,17.898208
13.0,13,17.912419
17.0,17,17.92191
18.0,18,17.925282
10.0,10,17.939763
14.0,14,17.952323
13.0,13,17.959847
14.0,14,17.969871
10.0,10,17.977637
11.0,11,17.987672
20.0,20,18.003409
27.0,27,18.019201
12.0,12,18.019201
15.0,15,18.041689
24.0,24,18.058191
15.0,15,18.066201
14.0,14,18.066201
15.0,15,18.066201
18.0,18,18.08199
19.0,19,18.08199
14.0,14,18.105552
42.0,42,18.130809
15.0,15,18.145394
49.0,49,18.178474
20.0,20,18.178474
23.0,23,18.203724
13.0,13,18.220236
36.0,36,18.241489
14.0,14,18.255192
10.0,10,18.255192
11.0,11,18.274486
17.0,17,18.28653
28.0,28,18.312308
18.0,18,18.318074
18.0,18,18.341894
12.0,12,18.347911
40.0,40,18.375486
12.0,12,18.383251
53.0,53,18.426364
17.0,17,18.438382
19.0,19,18.450709
26.0,26,18.459724
10.0,10,18.478069
25.0,25,18.495125
32.0,32,18.515134
13.0,13,18.523291
13.0,13,18.538856
49.0,49,18.570261
21.0,21,18.591016
13.0,13,18.59903
18.0,18,18.614739
20.0,20,18.619758
14.0,14,18.63541
40.0,40,18.662049
31.0,31,18.688418
28.0,28,18.707143
16.0,16,18.716377
17.0,17,18.726605
20.0,20,18.746195
20.0,20,18.761984
33.0,33,18.783801
10.0,10,18.789823
36.0,36,18.824811
13.0,13,18.840922
23.0,23,18.874241
13.0,13,18.883895
25.0,25,18.903664
25.0,25,18.913423
52.0,52,18.945502
44.0,44,18.979293
51.0,51,19.018547
12.0,12,19.025458
31.0,31,19.045702
11.0,11,19.05373
19.0,19,19.07789
13.0,13,19.087921
21.0,21,19.100313
35.0,35,19.126395
19.0,19,19.147507
13.0,13,19.156521
14.0,14,19.166538
22.0,22,19.180168
12.0,12,19.193483
12.0,12,19.201509
12.0,12,19.209535
11.0,11,19.215299
9.0,9,19.229291
12.0,12,19.23104
18.0,18,19.250835
9.0,9,19.256856
48.0,48,19.290661
30.0,30,19.312756
14.0,14,19.327301
37.0,37,19.352317
12.0,12,19.352317
30.0,30,19.384032
32.0,32,19.408159
38.0,38,19.435769
26.0,26,19.456033
37.0,37,19.485524
23.0,23,19.495452
19.0,19,19.495452
31.0,31,19.535717
16.0,16,19.546757
16.0,16,19.556787
20.0,20,19.5709
42.0,42,19.608063
17.0,17,19.618095
16.0,16,19.629871
27.0,27,19.648248
18.0,18,19.655984
28.0,28,19.683519
14.0,14,19.691274
29.0,29,19.701046
19.0,19,19.732963
22.0,22,19.732963
26.0,26,19.759386
28.0,28,19.778394
12.0,12,19.780397
15.0,15,19.800091
26.0,26,19.824162
32.0,32,19.856973
32.0,32,19.886099
17.0,17,19.898113
30.0,30,19.916007
13.0,13,19.916007
16.0,16,19.94689
12.0,12,19.947892
19.0,19,19.965561
22.0,22,19.979269
18.0,18,19.997113
19.0,19,20.010901
29.0,29,20.028687
18.0,18,20.042455
31.0,31,20.07077
25.0,25,20.074278
40.0,40,20.112555
21.0,21,20.122327
45.0,45,20.165174
22.0,22,20.168926
22.0,22,20.184957
33.0,33,20.216826
15.0,15,20.232616
26.0,26,20.25646
24.0,24,20.263949
17.0,17,20.279997
16.0,16,20.296476
18.0,18,20.306489
14.0,14,20.311905
29.0,29,20.335251
21.0,21,20.364306
11.0,11,20.366045
28.0,28,20.385702
29.0,29,20.409094
13.0,13,20.422852
19.0,19,20.430603
34.0,34,20.446579
13.0,13,20.462413
16.0,16,20.478118
19.0,19,20.478118
15.0,15,20.501789
12.0,12,20.509413
18.0,18,20.524038
24.0,24,20.543496
12.0,12,20.549514
54.0,54,20.593089
16.0,16,20.605407
11.0,11,20.605407
16.0,16,20.622762
20.0,20,20.63668
32.0,32,20.669622
43.0,43,20.684098
26.0,26,20.71793
38.0,38,20.739766
21.0,21,20.760468
38.0,38,20.785245
14.0,14,20.79515
29.0,29,20.81485
49.0,49,20.852226
13.0,13,20.867093
40.0,40,20.896587
19.0,19,20.898331
30.0,30,20.929824
12.0,12,20.945725
12.0,12,20.953478
11.0,11,20.959487
