#{"t_start": 1749544830.3053637, "env_id": "Pendulum-v1"}
r,l,t
-672.950576,200,169.055951
-741.582976,200,169.201439
-1130.937913,200,169.36138
-751.715643,200,169.504107
-878.284739,200,169.644548
-886.008299,200,169.776792
-1040.400713,200,171.274997
-840.194701,200,171.399578
-1023.580253,200,171.565655
-811.196951,200,171.718059
-878.830591,200,171.861317
-881.197761,200,172.00262
-1002.073172,200,172.13212
-896.261616,200,172.304583
-874.589377,200,172.453467
-851.222581,200,172.605201
-978.432296,200,174.117425
-974.042881,200,174.244593
-763.012041,200,174.390292
-886.900418,200,174.522831
-847.820225,200,174.65581
-874.486131,200,174.80857
-807.608882,200,174.939412
-877.993286,200,175.077809
-870.094413,200,175.233012
-852.133909,200,175.366063
-881.448331,200,176.928635
-867.599961,200,177.071006
-871.046097,200,177.214155
-814.927442,200,177.339296
-945.181825,200,177.482718
-811.649417,200,177.610152
-1002.638851,200,177.7372
-855.696267,200,177.854867
-857.211703,200,177.964094
-739.91153,200,178.061031
-622.800945,200,178.156901
-773.275008,200,178.236362
-744.049842,200,178.392518
-871.668582,200,178.533286
-780.904753,200,178.667659
-770.38109,200,178.796651
-752.637031,200,180.389115
-979.682787,200,180.562994
-960.440452,200,180.705847
-988.024149,200,180.831885
-886.142721,200,180.981062
-962.894902,200,181.123638
-657.777907,200,181.251074
-780.887382,200,181.391797
-763.347288,200,181.519092
-753.407255,200,181.662813
-866.241082,200,183.487322
-990.46774,200,183.655759
-970.511877,200,183.814348
-864.015176,200,183.943409
-1020.28703,200,184.094161
-868.360028,200,184.244272
-737.471969,200,184.377907
-897.232329,200,184.534296
-807.197176,200,184.67816
-1006.614678,200,184.813246
-891.629504,200,186.373067
-869.720275,200,186.553499
-853.667643,200,186.709899
-756.127386,200,186.837326
-754.471653,200,186.967017
-808.405655,200,187.110512
-987.682506,200,187.270365
-967.919151,200,187.412572
-876.607921,200,187.578948
-758.057753,200,187.731904
-1037.673386,200,189.418394
-753.577469,200,189.557394
-751.16897,200,189.711538
-875.105435,200,189.85274
-748.220804,200,189.995576
-867.83157,200,190.134519
-746.870551,200,190.29788
-992.37723,200,190.449623
-990.064169,200,190.595297
-878.730478,200,190.73604
-850.412486,200,190.885098
-868.473203,200,192.476561
-757.045995,200,192.619102
-869.530407,200,192.761609
-889.862389,200,192.899514
-770.191278,200,193.030479
-746.179736,200,193.110491
-675.963975,200,193.206408
-742.517705,200,193.30136
-633.502105,200,193.398874
-748.861195,200,193.485826
-861.568664,200,193.631889
-907.636629,200,193.768313
-876.106483,200,193.89218
-1007.345905,200,194.02095
-751.528599,200,194.13193
-752.349815,200,195.82504
-570.750243,200,195.952759
-1065.941532,200,196.079901
-886.921043,200,196.207176
-761.174981,200,196.339803
-1051.312813,200,196.494702
-770.311028,200,196.64249
-741.046981,200,196.784175
-634.151995,200,196.94963
-923.947537,200,197.084397
-745.234787,200,199.086811
-857.526825,200,199.277418
-860.051209,200,199.467988
-747.589494,200,199.651121
-778.820652,200,199.837787
-1031.548673,200,200.081757
-743.794868,200,200.273883
-754.306633,200,200.449222
-869.214003,200,200.618167
-868.9605,200,200.76104
-743.830303,200,202.552521
-887.107428,200,202.683051
-765.048745,200,202.823628
-937.269826,200,202.955252
-762.175851,200,203.082143
-694.341702,200,203.230587
-766.251285,200,203.362848
-754.567084,200,203.489226
-771.944642,200,203.651381
-765.133803,200,203.783604
-840.225099,200,203.92968
-861.68263,200,205.689786
-740.325587,200,205.814835
-639.575258,200,205.939566
-746.506862,200,206.075086
-868.030215,200,206.243099
-888.214567,200,206.385542
-786.699471,200,206.545839
-873.199701,200,206.69251
-765.016251,200,206.831754
-759.000839,200,206.957688
-874.463624,200,208.631504
-661.141305,200,208.758968
-877.973059,200,208.886104
-857.691523,200,209.015037
-745.842955,200,209.10874
-747.341321,200,209.204517
-825.833133,200,209.300194
-632.60292,200,209.402583
-635.568651,200,209.477519
-761.330911,200,209.633301
-643.996933,200,209.776483
-870.634044,200,209.91872
-869.000721,200,210.068294
-862.387882,200,210.206742
-753.610232,200,210.384029
-753.153759,200,212.085389
-775.756795,200,212.206085
-979.535121,200,212.349578
-760.072549,200,212.472632
-783.666639,200,212.656962
-808.113283,200,212.79624
